"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1463","Navigation from login page to registration page","LMS system","Sun May 10 07:13:28 UTC 2026","passed","Sun May 10 07:13:30 UTC 2026","Authorization","Authentication","",""
"","2057","User login with wrong email or password","LMS system","Sun May 10 07:13:24 UTC 2026","passed","Sun May 10 07:13:26 UTC 2026","Authorization","Authentication","",""
"","1942","Registration with correct email, username and password","LMS system","Sun May 10 07:13:29 UTC 2026","passed","Sun May 10 07:13:31 UTC 2026","Authorization","Authentication","",""
"","1748","Check displaying of dashboard page","LMS system","Sun May 10 07:13:36 UTC 2026","passed","Sun May 10 07:13:37 UTC 2026","Authorization","Authentication","",""
"","1928","Create course","LMS system","Sun May 10 07:13:33 UTC 2026","passed","Sun May 10 07:13:35 UTC 2026","Authorization","Authentication","",""
"","3578","Edit course","LMS system","Sun May 10 07:13:33 UTC 2026","passed","Sun May 10 07:13:37 UTC 2026","Authorization","Authentication","",""
"","1496","Check displaying of empty courses list","LMS system","Sun May 10 07:13:31 UTC 2026","passed","Sun May 10 07:13:33 UTC 2026","Authorization","Authentication","",""
"","1990","User login with wrong email or password","LMS system","Sun May 10 07:13:24 UTC 2026","passed","Sun May 10 07:13:26 UTC 2026","Authorization","Authentication","",""
"","1883","User login with wrong email or password","LMS system","Sun May 10 07:13:26 UTC 2026","passed","Sun May 10 07:13:28 UTC 2026","Authorization","Authentication","",""
"","3187","User login with correct email and password","LMS system","Sun May 10 07:13:26 UTC 2026","passed","Sun May 10 07:13:29 UTC 2026","Authorization","Authentication","",""
