"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2903","User login with correct email and password","LMS system","Mon May 11 17:07:05 UTC 2026","passed","Mon May 11 17:07:08 UTC 2026","Authorization","Authentication","",""
"","2029","User login with wrong email or password","LMS system","Mon May 11 17:07:03 UTC 2026","passed","Mon May 11 17:07:05 UTC 2026","Authorization","Authentication","",""
"","1951","User login with wrong email or password","LMS system","Mon May 11 17:07:05 UTC 2026","passed","Mon May 11 17:07:07 UTC 2026","Authorization","Authentication","",""
"","3789","Edit course","LMS system","Mon May 11 17:07:13 UTC 2026","passed","Mon May 11 17:07:17 UTC 2026","Authorization","Authentication","",""
"","1617","Navigation from login page to registration page","LMS system","Mon May 11 17:07:08 UTC 2026","passed","Mon May 11 17:07:09 UTC 2026","Authorization","Authentication","",""
"","1406","Check displaying of empty courses list","LMS system","Mon May 11 17:07:11 UTC 2026","passed","Mon May 11 17:07:13 UTC 2026","Authorization","Authentication","",""
"","2143","Check displaying of dashboard page","LMS system","Mon May 11 17:07:15 UTC 2026","passed","Mon May 11 17:07:17 UTC 2026","Authorization","Authentication","",""
"","2272","Create course","LMS system","Mon May 11 17:07:12 UTC 2026","passed","Mon May 11 17:07:15 UTC 2026","Authorization","Authentication","",""
"","1993","User login with wrong email or password","LMS system","Mon May 11 17:07:03 UTC 2026","passed","Mon May 11 17:07:05 UTC 2026","Authorization","Authentication","",""
"","1782","Registration with correct email, username and password","LMS system","Mon May 11 17:07:09 UTC 2026","passed","Mon May 11 17:07:11 UTC 2026","Authorization","Authentication","",""
