"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2023","Registration with correct email, username and password","LMS system","Fri May 15 18:27:35 UTC 2026","passed","Fri May 15 18:27:37 UTC 2026","Authorization","Authentication","",""
"","1680","Create course","LMS system","Fri May 15 18:27:39 UTC 2026","passed","Fri May 15 18:27:41 UTC 2026","Authorization","Authentication","",""
"","1234","Navigation from login page to registration page","LMS system","Fri May 15 18:27:36 UTC 2026","passed","Fri May 15 18:27:37 UTC 2026","Authorization","Authentication","",""
"","1571","User login with wrong email or password","LMS system","Fri May 15 18:27:33 UTC 2026","passed","Fri May 15 18:27:35 UTC 2026","Authorization","Authentication","",""
"","1536","User login with wrong email or password","LMS system","Fri May 15 18:27:31 UTC 2026","passed","Fri May 15 18:27:33 UTC 2026","Authorization","Authentication","",""
"","1955","User login with wrong email or password","LMS system","Fri May 15 18:27:31 UTC 2026","passed","Fri May 15 18:27:33 UTC 2026","Authorization","Authentication","",""
"","1483","Check displaying of empty courses list","LMS system","Fri May 15 18:27:39 UTC 2026","passed","Fri May 15 18:27:40 UTC 2026","Authorization","Authentication","",""
"","1595","Check displaying of dashboard page","LMS system","Fri May 15 18:27:41 UTC 2026","passed","Fri May 15 18:27:42 UTC 2026","Authorization","Authentication","",""
"","2733","User login with correct email and password","LMS system","Fri May 15 18:27:33 UTC 2026","passed","Fri May 15 18:27:36 UTC 2026","Authorization","Authentication","",""
"","2838","Edit course","LMS system","Fri May 15 18:27:41 UTC 2026","passed","Fri May 15 18:27:44 UTC 2026","Authorization","Authentication","",""
