"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2690","User login with correct email and password","LMS system","Fri May 08 17:25:16 UTC 2026","passed","Fri May 08 17:25:19 UTC 2026","Authorization","Authentication","",""
"","1331","Check displaying of empty courses list","LMS system","Fri May 08 17:25:21 UTC 2026","passed","Fri May 08 17:25:22 UTC 2026","Authorization","Authentication","",""
"","1420","Navigation from login page to registration page","LMS system","Fri May 08 17:25:19 UTC 2026","passed","Fri May 08 17:25:20 UTC 2026","Authorization","Authentication","",""
"","1683","User login with wrong email or password","LMS system","Fri May 08 17:25:14 UTC 2026","passed","Fri May 08 17:25:16 UTC 2026","Authorization","Authentication","",""
"","1819","Check displaying of dashboard page","LMS system","Fri May 08 17:25:24 UTC 2026","passed","Fri May 08 17:25:26 UTC 2026","Authorization","Authentication","",""
"","1334","User login with wrong email or password","LMS system","Fri May 08 17:25:16 UTC 2026","passed","Fri May 08 17:25:17 UTC 2026","Authorization","Authentication","",""
"","3311","Edit course","LMS system","Fri May 08 17:25:23 UTC 2026","passed","Fri May 08 17:25:26 UTC 2026","Authorization","Authentication","",""
"","1778","Create course","LMS system","Fri May 08 17:25:22 UTC 2026","passed","Fri May 08 17:25:24 UTC 2026","Authorization","Authentication","",""
"","1920","Registration with correct email, username and password","LMS system","Fri May 08 17:25:18 UTC 2026","passed","Fri May 08 17:25:20 UTC 2026","Authorization","Authentication","",""
"","1676","User login with wrong email or password","LMS system","Fri May 08 17:25:14 UTC 2026","passed","Fri May 08 17:25:16 UTC 2026","Authorization","Authentication","",""
