"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1880","Check displaying of dashboard page","LMS system","Tue May 05 17:20:04 UTC 2026","passed","Tue May 05 17:20:05 UTC 2026","Authorization","Authentication","",""
"","3374","Edit course","LMS system","Tue May 05 17:20:03 UTC 2026","passed","Tue May 05 17:20:06 UTC 2026","Authorization","Authentication","",""
"","1606","User login with wrong email or password","LMS system","Tue May 05 17:19:54 UTC 2026","passed","Tue May 05 17:19:55 UTC 2026","Authorization","Authentication","",""
"","1702","Create course","LMS system","Tue May 05 17:20:02 UTC 2026","passed","Tue May 05 17:20:03 UTC 2026","Authorization","Authentication","",""
"","1588","User login with wrong email or password","LMS system","Tue May 05 17:19:56 UTC 2026","passed","Tue May 05 17:19:57 UTC 2026","Authorization","Authentication","",""
"","1721","User login with wrong email or password","LMS system","Tue May 05 17:19:54 UTC 2026","passed","Tue May 05 17:19:55 UTC 2026","Authorization","Authentication","",""
"","1832","Registration with correct email, username and password","LMS system","Tue May 05 17:19:58 UTC 2026","passed","Tue May 05 17:19:59 UTC 2026","Authorization","Authentication","",""
"","1379","Navigation from login page to registration page","LMS system","Tue May 05 17:19:59 UTC 2026","passed","Tue May 05 17:20:00 UTC 2026","Authorization","Authentication","",""
"","2757","User login with correct email and password","LMS system","Tue May 05 17:19:56 UTC 2026","passed","Tue May 05 17:19:58 UTC 2026","Authorization","Authentication","",""
"","1350","Check displaying of empty courses list","LMS system","Tue May 05 17:20:01 UTC 2026","passed","Tue May 05 17:20:02 UTC 2026","Authorization","Authentication","",""
