"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2048","Create course","LMS system","Thu May 14 17:57:57 UTC 2026","passed","Thu May 14 17:57:59 UTC 2026","Authorization","Authentication","",""
"","2686","User login with wrong email or password","LMS system","Thu May 14 17:57:48 UTC 2026","passed","Thu May 14 17:57:50 UTC 2026","Authorization","Authentication","",""
"","3819","Edit course","LMS system","Thu May 14 17:57:58 UTC 2026","passed","Thu May 14 17:58:02 UTC 2026","Authorization","Authentication","",""
"","2767","User login with wrong email or password","LMS system","Thu May 14 17:57:48 UTC 2026","passed","Thu May 14 17:57:50 UTC 2026","Authorization","Authentication","",""
"","1578","Registration with correct email, username and password","LMS system","Thu May 14 17:57:54 UTC 2026","passed","Thu May 14 17:57:56 UTC 2026","Authorization","Authentication","",""
"","1909","User login with wrong email or password","LMS system","Thu May 14 17:57:51 UTC 2026","passed","Thu May 14 17:57:53 UTC 2026","Authorization","Authentication","",""
"","1843","Navigation from login page to registration page","LMS system","Thu May 14 17:57:53 UTC 2026","passed","Thu May 14 17:57:55 UTC 2026","Authorization","Authentication","",""
"","1357","Check displaying of empty courses list","LMS system","Thu May 14 17:57:56 UTC 2026","passed","Thu May 14 17:57:58 UTC 2026","Authorization","Authentication","",""
"","3202","User login with correct email and password","LMS system","Thu May 14 17:57:51 UTC 2026","passed","Thu May 14 17:57:54 UTC 2026","Authorization","Authentication","",""
"","1914","Check displaying of dashboard page","LMS system","Thu May 14 17:58:00 UTC 2026","passed","Thu May 14 17:58:02 UTC 2026","Authorization","Authentication","",""
