"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1607","Create course","LMS system","Sat May 09 18:24:14 UTC 2026","passed","Sat May 09 18:24:16 UTC 2026","Authorization","Authentication","",""
"","1613","Registration with correct email, username and password","LMS system","Sat May 09 18:24:11 UTC 2026","passed","Sat May 09 18:24:13 UTC 2026","Authorization","Authentication","",""
"","1515","Navigation from login page to registration page","LMS system","Sat May 09 18:24:10 UTC 2026","passed","Sat May 09 18:24:11 UTC 2026","Authorization","Authentication","",""
"","1844","Check displaying of dashboard page","LMS system","Sat May 09 18:24:16 UTC 2026","passed","Sat May 09 18:24:18 UTC 2026","Authorization","Authentication","",""
"","1632","User login with wrong email or password","LMS system","Sat May 09 18:24:06 UTC 2026","passed","Sat May 09 18:24:08 UTC 2026","Authorization","Authentication","",""
"","1717","User login with wrong email or password","LMS system","Sat May 09 18:24:06 UTC 2026","passed","Sat May 09 18:24:08 UTC 2026","Authorization","Authentication","",""
"","3429","Edit course","LMS system","Sat May 09 18:24:14 UTC 2026","passed","Sat May 09 18:24:18 UTC 2026","Authorization","Authentication","",""
"","1404","User login with wrong email or password","LMS system","Sat May 09 18:24:08 UTC 2026","passed","Sat May 09 18:24:09 UTC 2026","Authorization","Authentication","",""
"","2691","User login with correct email and password","LMS system","Sat May 09 18:24:08 UTC 2026","passed","Sat May 09 18:24:11 UTC 2026","Authorization","Authentication","",""
"","1292","Check displaying of empty courses list","LMS system","Sat May 09 18:24:13 UTC 2026","passed","Sat May 09 18:24:14 UTC 2026","Authorization","Authentication","",""
