"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1387","Navigation from login page to registration page","LMS system","Tue May 12 18:11:37 UTC 2026","passed","Tue May 12 18:11:38 UTC 2026","Authorization","Authentication","",""
"","3346","Edit course","LMS system","Tue May 12 18:11:41 UTC 2026","passed","Tue May 12 18:11:44 UTC 2026","Authorization","Authentication","",""
"","2812","User login with correct email and password","LMS system","Tue May 12 18:11:34 UTC 2026","passed","Tue May 12 18:11:36 UTC 2026","Authorization","Authentication","",""
"","1512","User login with wrong email or password","LMS system","Tue May 12 18:11:34 UTC 2026","passed","Tue May 12 18:11:35 UTC 2026","Authorization","Authentication","",""
"","1620","Create course","LMS system","Tue May 12 18:11:40 UTC 2026","passed","Tue May 12 18:11:41 UTC 2026","Authorization","Authentication","",""
"","1933","Registration with correct email, username and password","LMS system","Tue May 12 18:11:35 UTC 2026","passed","Tue May 12 18:11:37 UTC 2026","Authorization","Authentication","",""
"","1388","Check displaying of empty courses list","LMS system","Tue May 12 18:11:39 UTC 2026","passed","Tue May 12 18:11:40 UTC 2026","Authorization","Authentication","",""
"","1754","Check displaying of dashboard page","LMS system","Tue May 12 18:11:42 UTC 2026","passed","Tue May 12 18:11:43 UTC 2026","Authorization","Authentication","",""
"","1650","User login with wrong email or password","LMS system","Tue May 12 18:11:32 UTC 2026","passed","Tue May 12 18:11:33 UTC 2026","Authorization","Authentication","",""
"","1660","User login with wrong email or password","LMS system","Tue May 12 18:11:32 UTC 2026","passed","Tue May 12 18:11:33 UTC 2026","Authorization","Authentication","",""
