"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1368","Navigation from login page to registration page","LMS system","Thu May 14 17:00:42 UTC 2026","passed","Thu May 14 17:00:43 UTC 2026","Authorization","Authentication","",""
"","1417","User login with wrong email or password","LMS system","Thu May 14 17:00:39 UTC 2026","passed","Thu May 14 17:00:40 UTC 2026","Authorization","Authentication","",""
"","1653","User login with wrong email or password","LMS system","Thu May 14 17:00:37 UTC 2026","passed","Thu May 14 17:00:39 UTC 2026","Authorization","Authentication","",""
"","1782","Create course","LMS system","Thu May 14 17:00:45 UTC 2026","passed","Thu May 14 17:00:46 UTC 2026","Authorization","Authentication","",""
"","1844","Registration with correct email, username and password","LMS system","Thu May 14 17:00:41 UTC 2026","passed","Thu May 14 17:00:42 UTC 2026","Authorization","Authentication","",""
"","1879","Check displaying of dashboard page","LMS system","Thu May 14 17:00:47 UTC 2026","passed","Thu May 14 17:00:49 UTC 2026","Authorization","Authentication","",""
"","3468","Edit course","LMS system","Thu May 14 17:00:46 UTC 2026","passed","Thu May 14 17:00:49 UTC 2026","Authorization","Authentication","",""
"","1660","User login with wrong email or password","LMS system","Thu May 14 17:00:37 UTC 2026","passed","Thu May 14 17:00:39 UTC 2026","Authorization","Authentication","",""
"","2705","User login with correct email and password","LMS system","Thu May 14 17:00:39 UTC 2026","passed","Thu May 14 17:00:42 UTC 2026","Authorization","Authentication","",""
"","1318","Check displaying of empty courses list","LMS system","Thu May 14 17:00:44 UTC 2026","passed","Thu May 14 17:00:45 UTC 2026","Authorization","Authentication","",""
